device,cpu,mcs,txpower,mean_traffic_load,max_capacity,max_gp_capacity,mean_thr,mean_gput,mean_snr,SNR_normalized,mean_q7,mean_q11,mean_q25,mean_bler,mean_bsr,mean_it,mean_dectime,mean_overflows,mean_underflows,mean_lates,count
I7-5600U @ 2.60GHz,0.1,0,-3,11.5,12.36441646,12.19656422,0.531146303,0.434226742,9.862423529,12.86242353,1,1,1,0.711891,105196.3137,4.838431373,1761.480373,0.333333333,0.352941176,22.76470588,1
I7-5600U @ 2.60GHz,0.1,0,-3,17.25,18.28636109,18.25768486,0.533310826,0.450404684,10.64091897,13.64091897,1,1,1,0.627727,108477.1379,4.196896552,6448.979021,0.293103448,0.344827586,16.24137931,1
I7-5600U @ 2.60GHz,0.1,0,-3,23,20.70891275,20.69123762,0.450209877,0.158924998,2.541562069,5.541562069,1,1,1,0.92424,114405.7069,8.654655172,8658.899785,0.310344828,0.413793103,17.20689655,1
I7-5600U @ 2.60GHz,0.1,0,-3,28.75,20.70876387,20.69035338,0.34397244,0.327852873,8.368834694,11.36883469,1,1,1,0.77932,120285.8163,5.730408163,1999.442502,0.387755102,0.306122449,22.2244898,1
I7-5600U @ 2.60GHz,0.1,0,-2,2.3,3.312635315,2.6094508,0.278553804,0.277154416,7.916428571,9.916428571,1,1,1,0.55918,97024.08929,2.59375,3169.768276,0.25,0.196428571,13.32142857,1
I7-5600U @ 2.60GHz,0.1,0,-2,5.75,7.039359095,6.234428138,0.593755937,0.579818922,11.05297872,13.05297872,1,1,1,0.69815,123680.2553,4.139787234,5719.95138,0.29787234,0.340425532,16.34042553,1
I7-5600U @ 2.60GHz,0.1,0,-2,11.5,12.36441646,12.19656422,0.551787511,0.51255203,11.1608,13.1608,1,1,1,0.679033,123546.66,4.1464,4166.38127,0.3,0.34,17.96,1
I7-5600U @ 2.60GHz,0.1,0,-2,17.25,18.28636109,18.25768486,0.186436499,0.179517375,11.86696429,13.86696429,1,1,1,0.614749,115019.0536,3.781964286,5159.287807,0.25,0.267857143,13.55357143,1
I7-5600U @ 2.60GHz,0.1,0,-2,23,20.70891275,20.69123762,0.584020448,0.53237878,11.00020408,13.00020408,1,1,1,0.702897,125245.8776,4.386326531,3062.020667,0.306122449,0.265306122,16.91836735,1
I7-5600U @ 2.60GHz,0.1,0,-2,28.75,20.70876387,20.69035338,0.170759389,0.169357962,7.149811321,9.149811321,1,1,1,1,96045.35849,2.706415094,1305.993293,0.264150943,0.150943396,14.64150943,1
I7-5600U @ 2.60GHz,0.1,0,-1,2.3,3.312635315,2.6094508,0.479911847,0.476642545,11.36309655,12.36309655,1,1,1,0.666186667,122754.3159,3.898360043,3034.717992,0.29502442,0.235587825,16.05914225,3
I7-5600U @ 2.60GHz,0.1,0,-1,5.75,7.039359095,6.234428138,0.620488294,0.570642387,9.770572159,10.77057216,1,1,1,0.707759667,113662.1067,5.059627525,4851.905493,0.289772727,0.323863636,16.13005051,3
I7-5600U @ 2.60GHz,0.1,0,-1,11.5,12.36441646,12.19656422,0.566732608,0.518919216,12.09894733,13.09894733,1,1,1,0.68638,118730.7935,4.198067736,3482.846373,0.298712616,0.340225787,17.39964349,3
I7-5600U @ 2.60GHz,0.1,0,-1,17.25,18.28636109,18.25768486,0.385343349,0.349761304,10.18084572,11.18084572,1,1,1,0.730379333,161724.7106,5.362077498,4389.587397,0.301060424,0.32034147,17.28576764,3
I7-5600U @ 2.60GHz,0.1,0,-1,23,20.70891275,20.69123762,0.39976105,0.388253043,11.11034659,12.11034659,1,1,1,0.744042,131411.8693,4.757632576,3043.634193,0.326704545,0.40530303,18.18844697,2
I7-5600U @ 2.60GHz,0.1,0,-1,28.75,20.70876387,20.69035338,0.424406583,0.388230228,10.67475151,11.67475151,1,1,1,0.650595333,119147.4856,3.948250328,3303.978553,0.295573943,0.374848962,17.34736013,3
I7-5600U @ 2.60GHz,0.1,0,4,2.3,3.312635315,2.6094508,0.515696875,0.481060672,12.78900119,8.78900119,1,1,1,0.6617755,99169.11161,3.933303571,1541.684416,0.297619048,0.297619048,17.49702381,2
I7-5600U @ 2.60GHz,0.1,0,4,5.75,7.039359095,6.234428138,0.434802588,0.390634876,15.60483385,11.60483385,1,1,1,0.697072,101408.0504,4.406819231,4054.550915,0.313846154,0.382692308,18.40423077,2
I7-5600U @ 2.60GHz,0.1,0,4,11.5,12.36441646,12.19656422,0.533076038,0.466497286,15.57151301,11.57151301,1,1,1,0.6797335,114811.8839,4.21682398,2945.857828,0.303571429,0.332908163,16.98596939,2
I7-5600U @ 2.60GHz,0.1,0,4,17.25,18.28636109,18.25768486,0.314618673,0.310327152,15.98033471,11.98033471,1,1,1,0.691721,115762.2979,4.447214342,3496.173042,0.299842396,0.384948779,18.4393223,2
I7-5600U @ 2.60GHz,0.1,0,4,23,20.70891275,20.69123762,0.435227082,0.427466909,13.81369899,9.813698989,1,1,1,0.760621,132689.3165,4.851167846,4468.208458,0.338220425,0.461577351,21.3892821,2
I7-5600U @ 2.60GHz,0.1,0,4,28.75,20.70876387,20.69035338,0.457648214,0.372534296,13.1534364,9.153436404,1,1,1,0.73415,125600.5898,4.935739893,6704.51344,0.338482075,0.401983219,19.064836,2
I7-5600U @ 2.60GHz,0.1,0,14,2.3,3.312635315,2.6094508,0.296597642,0.291634023,21.06507579,7.065075788,1,1,1,0.70575,110135.9394,4.444751082,1951.226507,0.303030303,0.452813853,19.52359307,2
I7-5600U @ 2.60GHz,0.1,0,14,5.75,7.039359095,6.234428138,0.580482213,0.553072632,21.89286538,7.892865385,1,1,1,0.6857065,103747.8719,4.199496154,2710.882002,0.313461538,0.352692308,18.00153846,2
I7-5600U @ 2.60GHz,0.1,0,14,11.5,12.36441646,12.19656422,0.451625898,0.404257721,20.07926551,6.079265514,1,1,1,0.733406,119235.0765,4.662969858,1758.997429,0.326462766,0.379210993,20.87367021,2
I7-5600U @ 2.60GHz,0.1,0,14,17.25,18.28636109,18.25768486,0.510346514,0.459261743,21.20508878,7.205088776,1,1,1,0.696036,114386.3471,4.410313544,3662.272275,0.335992579,0.523191095,19.98756957,2
I7-5600U @ 2.60GHz,0.1,0,14,23,20.70891275,20.69123762,0.572884085,0.527556877,21.01248416,7.012484164,1,1,1,0.696941,126765.0039,4.293451727,3047.174844,0.306318681,0.346546311,16.81868132,2
I7-5600U @ 2.60GHz,0.1,0,14,28.75,20.70876387,20.69035338,0.514849556,0.494818685,20.81202834,6.81202834,1,1,1,0.7191205,128561.5602,4.361491108,1613.952155,0.317829457,0.374145007,18.06406749,2
